Retail_Clearance,Retail_InTransitQTY,Retail_Product_Color,Retail_Product_Dimension,Retail_Product_ExternalSKU,Retail_Product_ImageURL,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2,Retail_Product_Level2Name,Retail_Product_Level3,Retail_Product_Level3Name,Retail_Product_Level4,Retail_Product_Level4Name,Retail_Product_Level5,Retail_Product_Level5Name,Retail_Product_Manufacturer,Retail_Product_Name,Retail_Product_RFIDTagged,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_Product_UOM,Retail_Product_UPC,Retail_Product_UPCs,Retail_SFMax,Retail_SFMin,Retail_SOHDate,Retail_SOHQTY,Retail_SOHQTY_SF,Retail_SOHQTY_SR,Retail_StoreInProcess,Retail_StoreNumber,serial,thingTypeId
false,0,BRANCO,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CR,CRB,CRB,CRBKA,CRBK,CR,CRBKA,NaVal,CALCINHA CR SLO ELLA ESTAMPADO CINZA P B,NaVal,9568860004,P,KIT CALCINHA,NaVal,00095688600413,00095688600413,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009568860004,384
false,0,ROSA,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,CYA,CYA,CYAED,CYAE,SARJA,CYAED,NaVal,BERMUDA SARJA CRN SLO INK ABERTURA BARRA,NaVal,9384260002,40,BOTTOM CURTO SARJA,NaVal,00093842600248,00093842600248,0,0,2022-08-16 07:00:36.468,3,3,0,0,233,233_009384260002,384
false,0,NA,NaVal,NaVal,NaVal,H,ELETRO-ELETRONICOS,NaVal,HZ,NaVal,HZB,NaVal,HZBO,32362L0MKNE3K1,HZBOA,NaVal,RELOGIO FEM MONDAINE PRATA KIT COLAR ANA,NaVal,9735510000,NA,KIT FEMININO PRATA,NaVal,00097355100011,00097355100011,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009735510000,384
false,0,JEANS,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,CYA,CYA,CYAAK,CYAA,JEANS,CYAAK,NaVal,CALCA JEANS CF MSA INK USED TANK DIRT LI,NaVal,9579550002,38,CALÇA JEANS,NaVal,00095795500217,00095795500217,0,0,2022-08-16 07:00:36.468,3,3,0,0,233,233_009579550002,384
false,0,JEANS,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,NaVal,CYC,NaVal,CYCD,SHORT JEANS,CYCDB,NaVal,SHORT JEANS PS PRD BARRA DOBRADA E PREGA,NaVal,9633210004,52,BOTTOM CURTO JEANS PLUS,NaVal,00096332100419,00096332100419,0,0,2022-08-16 07:00:36.468,2,2,0,0,233,233_009633210004,384
false,0,CINZA,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CN,CNC,CNC,CNCCA,CNCC,JV CN,CNCCA,NaVal,CAMISOLA MANGA CURTA JV CN SLO DISNEY V,NaVal,9297040008,GG,CAMISOLA / ROBE,NaVal,00092970400850,00092970400850,0,0,2022-08-16 07:00:36.468,3,3,0,0,233,233_009297040008,384
false,0,VERDE,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CM,CMB,CMB,CMBAE,CMBA,CM,CMBAE,NaVal,CALCA CM EVT JNS MSA INK JOGGER CAMUFLAD,NaVal,9440550005,42,CALÇA SARJA,NaVal,00094405500531,00094405500531,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009440550005,384
false,0,JEANS,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,CYA,CYA,CYAAB,CYAA,JEANS,CYAAB,NaVal,CALCA JEANS JV MSA INK VISTA ABOTOADA ST,NaVal,9383950001,34,CALÇA JEANS,NaVal,00093839500193,00093839500193,0,0,2022-08-16 07:00:36.468,3,3,0,0,233,233_009383950001,384
false,0,JEANS,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,CYA,CYA,CYAAV,CYAA,JEANS,CYAAV,NaVal,CALCA JEANS  BIO MARCA DE TERCEIROS Jogg,NaVal,9697910002,36,CALÇA JEANS,NaVal,00096979100285,00096979100285,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009697910002,384
false,0,PRETO,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CJ,CJA,CJA,CJATU,CJAT,SLO,CJATU,NaVal,SOUTIEN APP5 SNS PP SLO PUSH UP LUTESTIL,NaVal,7575540002,42,SOUTIEN / TOP,NaVal,00075755400252,00075755400252,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_007575540002,384
